,y_pred,set
0,1.1061012334106781,train
1,1.3756695203912659,test
2,1.2174732781354123,train
3,1.1049309394046156,train
4,1.2733449641482135,train
5,1.0723042053117546,train
6,1.3445396340631774,train
7,1.3607430021007907,test
8,1.4944406885872343,train
9,1.3307567784427228,train
10,1.0836081259327606,train
11,1.4199544885649624,test
12,0.9131363940790291,train
13,1.2784485460516108,train
14,1.0957374200764292,train
15,1.0966220250780012,test
16,0.9359186069872296,train
17,1.045372598461321,train
18,1.1681350641757242,train
19,1.455496959719378,train
20,1.3416742474829435,train
21,1.2673586453079004,train
22,1.2996530885674247,train
23,1.252180636697632,train
24,1.0922813942480931,train
25,1.3763813950352286,train
26,1.284478484075716,train
27,1.1140224385225492,train
28,1.1652150955642797,test
29,1.1565879394278267,test
30,1.0566488141643025,train
31,1.1773389601145483,test
32,1.1567014397228368,test
33,0.9139413408748572,train
34,1.3613510052897912,train
35,1.0428310385034032,train
36,1.2387205720250698,train
37,1.095886584704184,train
38,1.299859610783857,train
39,1.4209165536077673,train
40,1.2794335665943868,test
41,1.3442482554038913,test
42,1.264460932075988,train
43,1.3564298637563927,train
44,1.4244031486986304,train
45,0.8873452941704919,train
46,1.2039990777779812,test
47,1.3815410282113005,train
48,1.5691305303320566,train
49,1.245692096335049,train
50,1.2601356565826252,train
51,1.0428080004069449,train
52,1.4430510208894343,train
53,0.5579080889195936,train
54,1.3457547062945954,train
55,1.386659851680863,train
56,1.5151376884790573,train
57,1.2020813518176743,train
58,1.1112015702783296,train
59,1.001049151940955,test
60,1.093753814343195,train
61,1.2310471892268684,train
62,1.3646109234379413,train
63,1.0778051500626713,train
64,1.230434486531398,test
65,1.2460598806754484,test
66,1.333702073653643,train
67,1.0496152515681365,train
68,1.2562577062241325,train
69,1.4279723327786276,test
70,1.2091082663982298,train
71,0.37458806399811784,train
72,1.0359084957434614,train
73,1.274772853983196,test
74,1.2545457376542712,test
75,1.2000291964003023,test
76,1.289429543224994,train
77,1.2187442697868351,train
78,1.4538964750483083,train
79,1.3400496222912002,train
80,1.2355365381306795,train
81,1.303016727161042,test
82,1.277927006132018,test
83,1.114320329473808,test
84,1.184766682826359,train
85,1.2559488557668355,train
86,1.2166489738366026,train
87,1.4066376117279296,train
88,0.9455564305826671,test
89,1.1892052947630982,test
90,1.215491088155147,test
91,1.2787285542530427,train
92,1.407296661664766,test
93,1.1907000646264312,train
94,1.3688821785299488,train
95,1.0425643244048781,train
96,1.3963729404267848,test
97,1.152052252322969,train
98,1.5768994055079268,train
99,1.296085196323189,test
100,1.316059267530204,train
101,1.2693138484799202,train
102,1.3150326972453967,train
103,1.3483506917777728,train
104,1.0249894595369173,test
105,1.2947592179039906,train
106,1.0529083358967362,train
107,1.1829343039786289,train
108,1.2176245642249348,train
109,1.3423109300683265,train
110,1.3036276550313692,train
111,1.454414880880484,test
112,1.325041169380449,train
113,1.306251933000665,train
114,0.9998696418127513,train
115,0.8207067170240498,test
116,1.0164090900423683,test
117,1.035502305484412,train
118,1.476159474614931,train
119,1.4709279828422521,test
120,1.3861663180138226,train
121,1.2312095233649831,train
122,1.099430541215669,test
123,1.3574370507040645,train
124,1.40842168567725,test
125,1.178336886597081,test
126,1.1862449575679936,test
127,1.1057158172135748,train
128,0.7747900129424783,train
129,1.119933060912304,train
130,1.1508474093776366,train
131,1.2143526345886508,test
132,1.2593805072621156,train
133,1.1294672603159084,test
134,1.3425447863443403,train
135,1.165771974646282,train
136,1.033723696828886,train
137,1.305419551779297,train
138,1.3242132768996415,train
139,1.326282683305442,train
140,1.327668087048117,train
141,1.3750250444278267,train
142,0.9589157220621197,train
143,1.113997337801324,train
144,1.0345827005851607,train
145,1.053815904037058,train
146,1.2119041871886427,test
147,1.350011651284154,train
148,1.4608564450580022,test
149,1.0318777820284497,test
150,1.4920827591947075,test
151,1.4060781099645974,test
152,1.305979304093195,train
153,1.1316309982722936,test
154,1.3158163389544502,test
155,1.3454694898920438,train
156,1.3637893132947978,test
157,1.2075349566448768,test
158,1.0552361093553073,test
159,1.3183226392409102,train
160,1.3152514648444082,train
161,1.3321725598685046,train
162,0.9604069615960072,test
163,1.3307833598894687,test
164,1.415124281801376,test
165,1.4566997588840571,test
166,1.3204382725015322,train
167,1.3872326399537875,train
168,1.2053953252603766,test
169,1.3757557594453043,train
170,1.176251051291519,train
171,0.8452350773650168,train
172,1.2713475095819105,test
173,1.2072273414146117,train
174,1.4365521001201105,train
175,1.3456122919615308,train
176,1.2388203619652172,train
177,1.2430763216801979,test
178,1.279317164218462,train
179,1.1382968852804853,train
180,1.329051052864778,train
181,1.3420869574391658,train
182,1.5044091938664805,train
183,1.3772395349638682,train
184,1.4339058686568027,train
185,1.227746651280037,train
186,1.4004509588700167,train
187,1.141407624610997,train
188,1.3989667641470374,test
189,1.4436372582182533,test
190,1.3316106041867775,test
191,1.365816532701238,test
192,1.3722097047984594,train
193,1.1187543951120134,train
194,1.3420795880897625,train
